iter	MultiClass
0	1.268140847
1	1.169449785
2	1.085882558
3	1.012740551
4	0.9493146252
5	0.8928142926
6	0.8429764243
7	0.7976715973
8	0.757268198
9	0.7197543941
10	0.6858577988
11	0.654649324
12	0.6259247149
13	0.5995311362
14	0.5750038908
15	0.5525793442
16	0.5320211374
17	0.5129086627
18	0.4947137953
19	0.4777419488
20	0.4614173872
21	0.446075466
22	0.4328574172
23	0.419584261
24	0.4074737185
25	0.3960519317
26	0.3854085836
27	0.3751104292
28	0.3657552235
29	0.3566440849
30	0.3475907185
31	0.339580497
32	0.3323380735
33	0.3253161477
34	0.3179897571
35	0.311041674
36	0.3047283192
37	0.2991482869
38	0.2937838828
39	0.2880939895
40	0.2824656808
41	0.2772086297
42	0.2723308768
43	0.2679214955
44	0.2638667037
45	0.2597777627
46	0.2563321898
47	0.2522667109
48	0.2485771577
49	0.2449289732
50	0.2416613817
51	0.238385422
52	0.2353252194
53	0.2326146484
54	0.2295945237
55	0.2269330381
56	0.2246713164
57	0.2222562555
58	0.2202066281
59	0.2178238308
60	0.2156414836
61	0.2138401193
62	0.2119804713
63	0.2100101479
64	0.2081633808
65	0.2063624105
66	0.2051106141
67	0.2036054986
68	0.2020151003
69	0.2006804758
70	0.1990225963
71	0.1975450517
72	0.1961655814
73	0.194955423
74	0.1936699784
75	0.1924384156
76	0.1911588741
77	0.1898646237
78	0.1888302453
79	0.1874925264
80	0.1864054352
81	0.1853538203
82	0.1843762988
83	0.1836738566
84	0.1830828937
85	0.1823477605
86	0.18144478
87	0.1806106009
88	0.1797617017
89	0.1787949894
90	0.1780764623
91	0.1772896221
92	0.176758502
93	0.1761408139
94	0.1754876826
95	0.1746644993
96	0.1739119544
97	0.1733819604
98	0.1727119537
99	0.1723299692
100	0.1715836842
101	0.1712112817
102	0.1708807363
103	0.1703866497
104	0.1700023705
105	0.1693328172
106	0.1688393753
107	0.168316072
108	0.1679111702
109	0.1675110196
110	0.1668779182
111	0.1664495603
112	0.1660514085
113	0.1657548666
114	0.165310612
115	0.1647687839
116	0.1642434496
117	0.1640342135
118	0.1635560814
119	0.1630110335
120	0.1625637285
121	0.1621847994
122	0.1617042947
123	0.1611986589
124	0.1607709719
125	0.1603329859
126	0.1600341425
127	0.1597048742
128	0.1594595678
129	0.1591881807
130	0.1587780476
131	0.158288952
132	0.1578542442
133	0.1576536449
