iter	Passed	Remaining
0	222	155365
1	306	106862
2	387	90131
3	465	80955
4	548	76293
5	626	72501
6	702	69567
7	779	67446
8	861	66178
9	948	65414
10	1026	64270
11	1102	63212
12	1183	62546
13	1266	62078
14	1352	61762
15	1437	61440
16	1518	60991
17	1605	60836
18	1688	60534
19	1764	60007
20	1839	59471
21	1924	59308
22	2003	58967
23	2082	58648
24	2158	58289
25	2240	58088
26	2336	58227
27	2444	58677
28	2529	58528
29	2615	58422
30	2702	58331
31	2782	58077
32	2863	57868
33	2947	57728
34	3029	57559
35	3110	57376
36	3193	57220
37	3276	57086
38	3357	56903
39	3438	56735
40	3521	56609
41	3601	56420
42	3689	56378
43	3770	56214
44	3856	56126
45	3935	55946
46	4013	55758
47	4090	55564
48	4170	55410
49	4248	55227
50	4327	55071
51	4409	54943
52	4490	54813
53	4564	54604
54	4646	54495
55	4732	54425
56	4816	54329
57	4896	54198
58	4974	54041
59	5056	53938
60	5140	53851
61	5223	53754
62	5303	53623
63	5383	53500
64	5465	53396
65	5542	53246
66	5619	53093
67	5703	53007
68	5785	52904
69	5896	53065
70	5978	52962
71	6056	52829
72	6134	52689
73	6216	52586
74	6297	52477
75	6377	52363
76	6463	52293
77	6548	52222
78	6630	52118
79	6706	51974
80	6785	51858
81	6866	51749
82	6946	51636
83	7023	51507
84	7106	51414
85	7182	51279
86	7259	51150
87	7340	51051
88	7421	50951
89	7504	50862
90	7583	50748
91	7663	50642
92	7739	50514
93	7821	50425
94	7911	50381
95	8000	50334
96	8079	50227
97	8157	50112
98	8233	49982
99	8308	49853
100	8391	49767
101	8469	49652
102	8546	49534
103	8621	49408
104	8702	49312
105	8779	49198
106	8857	49086
107	8936	48986
108	9029	48959
109	9112	48874
110	9198	48810
111	9274	48691
112	9353	48587
113	9437	48509
114	9534	48500
115	9615	48410
116	9705	48360
117	9784	48260
118	9864	48162
119	9951	48100
120	10031	48002
121	10115	47922
122	10190	47803
123	10266	47691
124	10354	47632
