iter	Passed	Remaining
0	160	112085
1	192	67045
2	224	52248
3	258	45005
4	281	39071
5	311	36023
6	339	33562
7	364	31559
8	395	30336
9	426	29410
10	457	28654
11	488	27999
12	518	27375
13	556	27262
14	592	27049
15	630	26967
16	658	26459
17	686	26024
18	712	25544
19	744	25310
20	776	25112
21	807	24896
22	835	24603
23	863	24328
24	894	24153
25	928	24072
26	956	23831
27	985	23652
28	1014	23482
29	1046	23361
30	1078	23279
31	1101	22987
32	1132	22884
33	1165	22820
34	1197	22748
35	1229	22680
36	1265	22671
37	1301	22679
38	1333	22595
39	1364	22514
40	1398	22472
41	1432	22437
42	1464	22382
43	1491	22242
44	1522	22162
45	1557	22144
46	1590	22103
47	1623	22054
48	1655	21999
49	1688	21948
50	1720	21895
51	1742	21716
52	1780	21737
53	1815	21722
54	1849	21685
55	1883	21659
56	1916	21613
57	1952	21608
58	1988	21602
59	2023	21580
60	2059	21575
61	2099	21605
62	2137	21612
63	2173	21601
64	2210	21594
65	2246	21575
66	2282	21563
67	2317	21536
68	2353	21526
69	2392	21528
70	2428	21510
71	2465	21501
72	2502	21491
73	2538	21476
74	2573	21442
75	2607	21408
76	2643	21386
77	2680	21371
78	2715	21348
79	2754	21344
80	2794	21356
81	2832	21345
82	2869	21330
83	2905	21303
84	2939	21265
85	2976	21248
86	3010	21214
87	3044	21169
88	3077	21128
89	3112	21098
90	3145	21049
91	3179	21014
92	3227	21066
93	3269	21078
94	3308	21067
95	3342	21028
96	3376	20989
97	3412	20962
98	3446	20922
99	3479	20876
100	3514	20844
101	3550	20816
102	3584	20778
103	3621	20755
104	3657	20726
105	3691	20684
106	3729	20667
107	3763	20627
108	3798	20595
109	3834	20567
110	3870	20537
111	3904	20498
112	3937	20455
113	3966	20390
114	3998	20342
115	4016	20222
116	4049	20179
117	4085	20151
118	4121	20124
119	4158	20100
120	4194	20070
121	4229	20037
122	4264	20003
123	4300	19976
124	4345	19989
125	4385	19977
126	4424	19962
